"Event variant/page","Source","Scene evidence","Role","Character","Lines (zero based)","Classification","Priority","Previous art","Resolved art","Action"
"story-reckoning-field:story-reckoning-mira-marker:aftermath:route-1/page:0/The Low Rail","src/data/story-field-scenes.ts:118","The flower-pickers' road, Mira tightening the public rail below Kesa's marker","actor","Mira Volt","0,1,2","REMAP","1","/portraits/mira-volt.webp","/portraits/cinematic/storywide/mira-volt-neutral.webp?v=891202c8e","Resolve this exact current story beat to retained, reviewed artwork."
"story-reckoning-field:story-reckoning-mira-marker:aftermath:legacy/page:0/Weather at the Marker","src/data/story-field-scenes.ts:130","Kesa's marker above the ridge gate, Mira checking the fitted stone after rain","background","","0,1","VARIANT","3","/scenes/story/cinematic/storywide/stormveil-threshold.webp","/scenes/story/cinematic/storywide/stormveil-field-marker-return-v1.webp","Integrated supported story-state variant: stormCairnAfterFixed. See production.json for reference lock and production brief."
"story-reckoning-field:story-reckoning-mira-marker:aftermath:legacy/page:0/Weather at the Marker","src/data/story-field-scenes.ts:130","Kesa's marker above the ridge gate, Mira checking the fitted stone after rain","actor","Mira Volt","0,1","REMAP","1","/portraits/mira-volt.webp","/portraits/cinematic/storywide/mira-volt-neutral.webp?v=891202c8e","Resolve this exact current story beat to retained, reviewed artwork."
"story-reckoning-field:story-reckoning-toma-cinders:al-ash-line:route-0/page:0/The Bridge or the Trail","src/data/story-field-scenes.ts:147","The ash line, cart ruts crossing a footpath toward the east channel","background","","0,1,2","REMAP","3","/scenes/story/cinematic/storywide/ashen-threshold.webp","/scenes/story/cinematic/side-stories/story-road-three-footprints.webp","Resolve this exact current story beat to retained, reviewed artwork."
"story-reckoning-field:story-reckoning-toma-cinders:al-ash-line:route-0/page:0/The Bridge or the Trail","src/data/story-field-scenes.ts:147","The ash line, cart ruts crossing a footpath toward the east channel","actor","Toma Reed","0,1,2","REMAP","1","/portraits/toma-reed.webp","/portraits/cinematic/toma-reed.webp?v=891202c8e","Resolve this exact current story beat to retained, reviewed artwork."
"story-reckoning-field:story-reckoning-toma-cinders:al-ash-line:replay-0/page:0/The Bridge or the Trail","src/data/story-field-scenes.ts:147","The ash line, cart ruts crossing a footpath toward the east channel","background","","0,1,2","REMAP","3","/scenes/story/cinematic/storywide/ashen-threshold.webp","/scenes/story/cinematic/side-stories/story-road-three-footprints.webp","Resolve this exact current story beat to retained, reviewed artwork."
"story-reckoning-field:story-reckoning-toma-cinders:al-ash-line:replay-0/page:0/The Bridge or the Trail","src/data/story-field-scenes.ts:147","The ash line, cart ruts crossing a footpath toward the east channel","actor","Toma Reed","0,1,2","REMAP","1","/portraits/toma-reed.webp","/portraits/cinematic/toma-reed.webp?v=891202c8e","Resolve this exact current story beat to retained, reviewed artwork."
"story-reckoning-field:story-reckoning-toma-cinders:al-ash-line:replay-0/page:1/Your Recorded Choice","src/data/story-field-scenes.ts:1","The ash line, cart ruts crossing a footpath toward the east channel","background","","0","REMAP","3","/scenes/story/cinematic/storywide/ashen-threshold.webp","/scenes/story/cinematic/side-stories/story-road-three-footprints.webp","Resolve this exact current story beat to retained, reviewed artwork."
"story-reckoning-field:story-reckoning-toma-cinders:al-collapsed-footbridge:route-0/page:0/Sound Before Pretty","src/data/story-field-scenes.ts:166","The collapsed footbridge, Toma lying on one shoulder beneath the split stringer","background","","0,1,2","VARIANT","3","/scenes/story/cinematic/storywide/ashen-threshold.webp","/scenes/story/cinematic/storywide/ashen-east-footbridge-broken-v1.webp","Integrated supported story-state variant: ashenBridgeBroken. See production.json for reference lock and production brief."
"story-reckoning-field:story-reckoning-toma-cinders:al-collapsed-footbridge:route-0/page:0/Sound Before Pretty","src/data/story-field-scenes.ts:166","The collapsed footbridge, Toma lying on one shoulder beneath the split stringer","actor","Toma Reed","0,1,2","REMAP","1","/portraits/toma-reed.webp","/portraits/cinematic/toma-reed.webp?v=891202c8e","Resolve this exact current story beat to retained, reviewed artwork."
"story-reckoning-field:story-reckoning-toma-cinders:al-collapsed-footbridge:replay-0/page:0/Sound Before Pretty","src/data/story-field-scenes.ts:166","The collapsed footbridge, Toma lying on one shoulder beneath the split stringer","background","","0,1,2","VARIANT","3","/scenes/story/cinematic/storywide/ashen-threshold.webp","/scenes/story/cinematic/storywide/ashen-east-footbridge-broken-v1.webp","Integrated supported story-state variant: ashenBridgeBroken. See production.json for reference lock and production brief."
"story-reckoning-field:story-reckoning-toma-cinders:al-collapsed-footbridge:replay-0/page:0/Sound Before Pretty","src/data/story-field-scenes.ts:166","The collapsed footbridge, Toma lying on one shoulder beneath the split stringer","actor","Toma Reed","0,1,2","REMAP","1","/portraits/toma-reed.webp","/portraits/cinematic/toma-reed.webp?v=891202c8e","Resolve this exact current story beat to retained, reviewed artwork."
"story-reckoning-field:story-reckoning-toma-cinders:al-collapsed-footbridge:replay-0/page:1/Your Recorded Choice","src/data/story-field-scenes.ts:1","The collapsed footbridge, Toma lying on one shoulder beneath the split stringer","background","","0,1","VARIANT","3","/scenes/story/cinematic/storywide/ashen-threshold.webp","/scenes/story/cinematic/storywide/ashen-east-footbridge-broken-v1.webp","Integrated supported story-state variant: ashenBridgeBroken. See production.json for reference lock and production brief."
"story-reckoning-field:story-reckoning-toma-cinders:al-east-channel-catch:route-0/page:0/Let the Water Loosen Them","src/data/story-field-scenes.ts:182","The east channel catch, Toma kneeling wrist-deep in brown water","background","","0,1,2","REPLACE","3","/scenes/story/cinematic/storywide/ashen-threshold.webp","/scenes/story/cinematic/storywide/ashen-field-silted-sluice-v1.webp","Integrated reviewed replacement: ashenSluice. See production.json for reference lock and production brief."
"story-reckoning-field:story-reckoning-toma-cinders:al-east-channel-catch:route-0/page:0/Let the Water Loosen Them","src/data/story-field-scenes.ts:182","The east channel catch, Toma kneeling wrist-deep in brown water","actor","Toma Reed","0,1,2","REMAP","1","/portraits/toma-reed.webp","/portraits/cinematic/toma-reed.webp?v=891202c8e","Resolve this exact current story beat to retained, reviewed artwork."
"story-reckoning-field:story-reckoning-toma-cinders:al-east-channel-catch:replay-0/page:0/Let the Water Loosen Them","src/data/story-field-scenes.ts:182","The east channel catch, Toma kneeling wrist-deep in brown water","background","","0,1,2","REPLACE","3","/scenes/story/cinematic/storywide/ashen-threshold.webp","/scenes/story/cinematic/storywide/ashen-field-silted-sluice-v1.webp","Integrated reviewed replacement: ashenSluice. See production.json for reference lock and production brief."
"story-reckoning-field:story-reckoning-toma-cinders:al-east-channel-catch:replay-0/page:0/Let the Water Loosen Them","src/data/story-field-scenes.ts:182","The east channel catch, Toma kneeling wrist-deep in brown water","actor","Toma Reed","0,1,2","REMAP","1","/portraits/toma-reed.webp","/portraits/cinematic/toma-reed.webp?v=891202c8e","Resolve this exact current story beat to retained, reviewed artwork."
"story-reckoning-field:story-reckoning-toma-cinders:al-east-channel-catch:replay-0/page:1/Your Recorded Choice","src/data/story-field-scenes.ts:1","The east channel catch, Toma kneeling wrist-deep in brown water","background","","0","REPLACE","3","/scenes/story/cinematic/storywide/ashen-threshold.webp","/scenes/story/cinematic/storywide/ashen-field-silted-sluice-v1.webp","Integrated reviewed replacement: ashenSluice. See production.json for reference lock and production brief."
"story-reckoning-field:story-reckoning-toma-cinders:aftermath:route-0/page:0/The Bridge Takes Weight","src/data/story-field-scenes.ts:244","The east footbridge, Toma replacing a wedge while morning baskets cross","background","","0,1,2","VARIANT","3","/scenes/story/cinematic/storywide/ashen-threshold.webp","/scenes/story/cinematic/storywide/ashen-east-footbridge-morning-v1.webp","Integrated supported story-state variant: ashenBridgeMorning. See production.json for reference lock and production brief."
"story-reckoning-field:story-reckoning-toma-cinders:aftermath:route-0/page:0/The Bridge Takes Weight","src/data/story-field-scenes.ts:244","The east footbridge, Toma replacing a wedge while morning baskets cross","actor","Toma Reed","0,1,2","REMAP","1","/portraits/toma-reed.webp","/portraits/cinematic/toma-reed.webp?v=891202c8e","Resolve this exact current story beat to retained, reviewed artwork."
"story-reckoning-field:story-reckoning-toma-cinders:al-ash-line:route-1/page:0/The Bridge or the Trail","src/data/story-field-scenes.ts:147","The ash line, cart ruts crossing a footpath toward the east channel","background","","0,1,2","REMAP","3","/scenes/story/cinematic/storywide/ashen-threshold.webp","/scenes/story/cinematic/side-stories/story-road-three-footprints.webp","Resolve this exact current story beat to retained, reviewed artwork."
"story-reckoning-field:story-reckoning-toma-cinders:al-ash-line:route-1/page:0/The Bridge or the Trail","src/data/story-field-scenes.ts:147","The ash line, cart ruts crossing a footpath toward the east channel","actor","Toma Reed","0,1,2","REMAP","1","/portraits/toma-reed.webp","/portraits/cinematic/toma-reed.webp?v=891202c8e","Resolve this exact current story beat to retained, reviewed artwork."
"story-reckoning-field:story-reckoning-toma-cinders:al-ash-line:replay-1/page:0/The Bridge or the Trail","src/data/story-field-scenes.ts:147","The ash line, cart ruts crossing a footpath toward the east channel","background","","0,1,2","REMAP","3","/scenes/story/cinematic/storywide/ashen-threshold.webp","/scenes/story/cinematic/side-stories/story-road-three-footprints.webp","Resolve this exact current story beat to retained, reviewed artwork."
"story-reckoning-field:story-reckoning-toma-cinders:al-ash-line:replay-1/page:0/The Bridge or the Trail","src/data/story-field-scenes.ts:147","The ash line, cart ruts crossing a footpath toward the east channel","actor","Toma Reed","0,1,2","REMAP","1","/portraits/toma-reed.webp","/portraits/cinematic/toma-reed.webp?v=891202c8e","Resolve this exact current story beat to retained, reviewed artwork."
"story-reckoning-field:story-reckoning-toma-cinders:al-ash-line:replay-1/page:1/Your Recorded Choice","src/data/story-field-scenes.ts:1","The ash line, cart ruts crossing a footpath toward the east channel","background","","0","REMAP","3","/scenes/story/cinematic/storywide/ashen-threshold.webp","/scenes/story/cinematic/side-stories/story-road-three-footprints.webp","Resolve this exact current story beat to retained, reviewed artwork."
"story-reckoning-field:story-reckoning-toma-cinders:al-charcoal-yard:route-1/page:0/Ask the Person, Read the Wheel","src/data/story-field-scenes.ts:198","The charcoal yard, workers unloading sacks while Toma studies six identical tracks","background","","0,1,2","REPLACE","3","/scenes/story/cinematic/storywide/ashen-threshold.webp","/scenes/story/cinematic/storywide/ashen-field-charcoal-yard-v1.webp","Integrated reviewed replacement: ashenCharcoalYard. See production.json for reference lock and production brief."
"story-reckoning-field:story-reckoning-toma-cinders:al-charcoal-yard:route-1/page:0/Ask the Person, Read the Wheel","src/data/story-field-scenes.ts:198","The charcoal yard, workers unloading sacks while Toma studies six identical tracks","actor","Toma Reed","0,1,2","REMAP","1","/portraits/toma-reed.webp","/portraits/cinematic/toma-reed.webp?v=891202c8e","Resolve this exact current story beat to retained, reviewed artwork."
"story-reckoning-field:story-reckoning-toma-cinders:al-charcoal-yard:replay-1/page:0/Ask the Person, Read the Wheel","src/data/story-field-scenes.ts:198","The charcoal yard, workers unloading sacks while Toma studies six identical tracks","background","","0,1,2","REPLACE","3","/scenes/story/cinematic/storywide/ashen-threshold.webp","/scenes/story/cinematic/storywide/ashen-field-charcoal-yard-v1.webp","Integrated reviewed replacement: ashenCharcoalYard. See production.json for reference lock and production brief."
"story-reckoning-field:story-reckoning-toma-cinders:al-charcoal-yard:replay-1/page:0/Ask the Person, Read the Wheel","src/data/story-field-scenes.ts:198","The charcoal yard, workers unloading sacks while Toma studies six identical tracks","actor","Toma Reed","0,1,2","REMAP","1","/portraits/toma-reed.webp","/portraits/cinematic/toma-reed.webp?v=891202c8e","Resolve this exact current story beat to retained, reviewed artwork."
"story-reckoning-field:story-reckoning-toma-cinders:al-charcoal-yard:replay-1/page:1/Your Recorded Choice","src/data/story-field-scenes.ts:1","The charcoal yard, workers unloading sacks while Toma studies six identical tracks","background","","0","REPLACE","3","/scenes/story/cinematic/storywide/ashen-threshold.webp","/scenes/story/cinematic/storywide/ashen-field-charcoal-yard-v1.webp","Integrated reviewed replacement: ashenCharcoalYard. See production.json for reference lock and production brief."
"story-reckoning-field:story-reckoning-toma-cinders:al-silted-sluice:route-1/page:0/Cedar in the Silt","src/data/story-field-scenes.ts:214","The silted sluice, Toma sorting each pale edge onto the folded oilcloth","background","","0,1,2","REPLACE","3","/scenes/story/cinematic/storywide/ashen-threshold.webp","/scenes/story/cinematic/storywide/ashen-field-silted-sluice-v1.webp","Integrated reviewed replacement: ashenSluice. See production.json for reference lock and production brief."
"story-reckoning-field:story-reckoning-toma-cinders:al-silted-sluice:route-1/page:0/Cedar in the Silt","src/data/story-field-scenes.ts:214","The silted sluice, Toma sorting each pale edge onto the folded oilcloth","actor","Toma Reed","0,1,2","REMAP","1","/portraits/toma-reed.webp","/portraits/cinematic/toma-reed.webp?v=891202c8e","Resolve this exact current story beat to retained, reviewed artwork."
"story-reckoning-field:story-reckoning-toma-cinders:al-silted-sluice:replay-1/page:0/Cedar in the Silt","src/data/story-field-scenes.ts:214","The silted sluice, Toma sorting each pale edge onto the folded oilcloth","background","","0,1,2","REPLACE","3","/scenes/story/cinematic/storywide/ashen-threshold.webp","/scenes/story/cinematic/storywide/ashen-field-silted-sluice-v1.webp","Integrated reviewed replacement: ashenSluice. See production.json for reference lock and production brief."
"story-reckoning-field:story-reckoning-toma-cinders:al-silted-sluice:replay-1/page:0/Cedar in the Silt","src/data/story-field-scenes.ts:214","The silted sluice, Toma sorting each pale edge onto the folded oilcloth","actor","Toma Reed","0,1,2","REMAP","1","/portraits/toma-reed.webp","/portraits/cinematic/toma-reed.webp?v=891202c8e","Resolve this exact current story beat to retained, reviewed artwork."
"story-reckoning-field:story-reckoning-toma-cinders:al-silted-sluice:replay-1/page:1/Your Recorded Choice","src/data/story-field-scenes.ts:1","The silted sluice, Toma sorting each pale edge onto the folded oilcloth","background","","0","REPLACE","3","/scenes/story/cinematic/storywide/ashen-threshold.webp","/scenes/story/cinematic/storywide/ashen-field-silted-sluice-v1.webp","Integrated reviewed replacement: ashenSluice. See production.json for reference lock and production brief."
"story-reckoning-field:story-reckoning-toma-cinders:al-bridge-after-dark:route-1/page:0/The Job Still Owed","src/data/story-field-scenes.ts:230","The footbridge after dark, one lamp, four clamps, and rain in the leaves","background","","0,1,2","VARIANT","3","/scenes/story/cinematic/storywide/ashen-threshold.webp","/scenes/story/cinematic/storywide/ashen-east-footbridge-repair-night-v1.webp","Integrated supported story-state variant: ashenBridgeRepair. See production.json for reference lock and production brief."
"story-reckoning-field:story-reckoning-toma-cinders:al-bridge-after-dark:route-1/page:0/The Job Still Owed","src/data/story-field-scenes.ts:230","The footbridge after dark, one lamp, four clamps, and rain in the leaves","actor","Toma Reed","0,1,2","REMAP","1","/portraits/toma-reed.webp","/portraits/cinematic/toma-reed.webp?v=891202c8e","Resolve this exact current story beat to retained, reviewed artwork."
"story-reckoning-field:story-reckoning-toma-cinders:al-bridge-after-dark:replay-1/page:0/The Job Still Owed","src/data/story-field-scenes.ts:230","The footbridge after dark, one lamp, four clamps, and rain in the leaves","background","","0,1,2","VARIANT","3","/scenes/story/cinematic/storywide/ashen-threshold.webp","/scenes/story/cinematic/storywide/ashen-east-footbridge-repair-night-v1.webp","Integrated supported story-state variant: ashenBridgeRepair. See production.json for reference lock and production brief."
"story-reckoning-field:story-reckoning-toma-cinders:al-bridge-after-dark:replay-1/page:0/The Job Still Owed","src/data/story-field-scenes.ts:230","The footbridge after dark, one lamp, four clamps, and rain in the leaves","actor","Toma Reed","0,1,2","REMAP","1","/portraits/toma-reed.webp","/portraits/cinematic/toma-reed.webp?v=891202c8e","Resolve this exact current story beat to retained, reviewed artwork."
"story-reckoning-field:story-reckoning-toma-cinders:al-bridge-after-dark:replay-1/page:1/Your Recorded Choice","src/data/story-field-scenes.ts:1","The footbridge after dark, one lamp, four clamps, and rain in the leaves","background","","0","VARIANT","3","/scenes/story/cinematic/storywide/ashen-threshold.webp","/scenes/story/cinematic/storywide/ashen-east-footbridge-repair-night-v1.webp","Integrated supported story-state variant: ashenBridgeRepair. See production.json for reference lock and production brief."
"story-reckoning-field:story-reckoning-toma-cinders:aftermath:route-1/page:0/One More Lamp","src/data/story-field-scenes.ts:255","The footbridge under two lamps, Toma checking the clamps while rain ticks through the leaves","background","","0,1,2","VARIANT","3","/scenes/story/cinematic/storywide/ashen-threshold.webp","/scenes/story/cinematic/storywide/ashen-east-footbridge-two-lamps-v1.webp","Integrated supported story-state variant: ashenBridgeTwoLamps. See production.json for reference lock and production brief."
"story-reckoning-field:story-reckoning-toma-cinders:aftermath:route-1/page:0/One More Lamp","src/data/story-field-scenes.ts:255","The footbridge under two lamps, Toma checking the clamps while rain ticks through the leaves","actor","Toma Reed","0,1,2","REMAP","1","/portraits/toma-reed.webp","/portraits/cinematic/toma-reed.webp?v=891202c8e","Resolve this exact current story beat to retained, reviewed artwork."
"story-reckoning-field:story-reckoning-toma-cinders:aftermath:legacy/page:0/Names on the Post","src/data/story-field-scenes.ts:267","The outskirts register post, Toma cleaning rain grit from the returned cedar","background","","0,1","REPLACE","3","/scenes/story/cinematic/storywide/ashen-threshold.webp","/scenes/story/cinematic/storywide/ashen-outskirts-register-post-v1.webp","Integrated reviewed replacement: ashenRegisterPost. See production.json for reference lock and production brief."
"story-reckoning-field:story-reckoning-toma-cinders:aftermath:legacy/page:0/Names on the Post","src/data/story-field-scenes.ts:267","The outskirts register post, Toma cleaning rain grit from the returned cedar","actor","Toma Reed","0,1","REMAP","1","/portraits/toma-reed.webp","/portraits/cinematic/toma-reed.webp?v=891202c8e","Resolve this exact current story beat to retained, reviewed artwork."
"story-reckoning-field:story-reckoning-sova-true-roll:ff-gate-stones:route-0/page:0/One Jar, Two Needs","src/data/story-field-scenes.ts:284","The gate stones, a wall corporal and a cook waiting on opposite sides of one oil jar","background","","0,1,2","VARIANT","3","/scenes/story/cinematic/storywide/frostfang-threshold.webp","/scenes/story/cinematic/storywide/frostfang-roll-stone-v1.webp","Integrated supported story-state variant: frostIntake. See production.json for reference lock and production brief."
"story-reckoning-field:story-reckoning-sova-true-roll:ff-gate-stones:route-0/page:0/One Jar, Two Needs","src/data/story-field-scenes.ts:284","The gate stones, a wall corporal and a cook waiting on opposite sides of one oil jar","actor","Elder Sova","0,1,2","REMAP","1","/portraits/elder-sova.webp","/portraits/cinematic/storywide/elder-sova-canon.webp?v=891202c8e","Resolve this exact current story beat to retained, reviewed artwork."
"story-reckoning-field:story-reckoning-sova-true-roll:ff-gate-stones:replay-0/page:0/One Jar, Two Needs","src/data/story-field-scenes.ts:284","The gate stones, a wall corporal and a cook waiting on opposite sides of one oil jar","background","","0,1,2","VARIANT","3","/scenes/story/cinematic/storywide/frostfang-threshold.webp","/scenes/story/cinematic/storywide/frostfang-roll-stone-v1.webp","Integrated supported story-state variant: frostIntake. See production.json for reference lock and production brief."
"story-reckoning-field:story-reckoning-sova-true-roll:ff-gate-stones:replay-0/page:0/One Jar, Two Needs","src/data/story-field-scenes.ts:284","The gate stones, a wall corporal and a cook waiting on opposite sides of one oil jar","actor","Elder Sova","0,1,2","REMAP","1","/portraits/elder-sova.webp","/portraits/cinematic/storywide/elder-sova-canon.webp?v=891202c8e","Resolve this exact current story beat to retained, reviewed artwork."
"story-reckoning-field:story-reckoning-sova-true-roll:ff-gate-stones:replay-0/page:1/Your Recorded Choice","src/data/story-field-scenes.ts:1","The gate stones, a wall corporal and a cook waiting on opposite sides of one oil jar","background","","0","VARIANT","3","/scenes/story/cinematic/storywide/frostfang-threshold.webp","/scenes/story/cinematic/storywide/frostfang-roll-stone-v1.webp","Integrated supported story-state variant: frostIntake. See production.json for reference lock and production brief."
"story-reckoning-field:story-reckoning-sova-true-roll:ff-south-watch-post:route-0/page:0/Half Light","src/data/story-field-scenes.ts:303","The south watch post, Sova measuring the last oil into three lamp cups","background","","0,1,2","REMAP","3","/scenes/story/cinematic/storywide/frostfang-threshold.webp","/scenes/story/story-interlude-frostfang-village-30.webp","Resolve this exact current story beat to retained, reviewed artwork."
"story-reckoning-field:story-reckoning-sova-true-roll:ff-south-watch-post:route-0/page:0/Half Light","src/data/story-field-scenes.ts:303","The south watch post, Sova measuring the last oil into three lamp cups","actor","Elder Sova","0,1,2","REMAP","1","/portraits/elder-sova.webp","/portraits/cinematic/storywide/elder-sova-canon.webp?v=891202c8e","Resolve this exact current story beat to retained, reviewed artwork."
"story-reckoning-field:story-reckoning-sova-true-roll:ff-south-watch-post:replay-0/page:0/Half Light","src/data/story-field-scenes.ts:303","The south watch post, Sova measuring the last oil into three lamp cups","background","","0,1,2","REMAP","3","/scenes/story/cinematic/storywide/frostfang-threshold.webp","/scenes/story/story-interlude-frostfang-village-30.webp","Resolve this exact current story beat to retained, reviewed artwork."
"story-reckoning-field:story-reckoning-sova-true-roll:ff-south-watch-post:replay-0/page:0/Half Light","src/data/story-field-scenes.ts:303","The south watch post, Sova measuring the last oil into three lamp cups","actor","Elder Sova","0,1,2","REMAP","1","/portraits/elder-sova.webp","/portraits/cinematic/storywide/elder-sova-canon.webp?v=891202c8e","Resolve this exact current story beat to retained, reviewed artwork."
"story-reckoning-field:story-reckoning-sova-true-roll:ff-south-watch-post:replay-0/page:1/Your Recorded Choice","src/data/story-field-scenes.ts:1","The south watch post, Sova measuring the last oil into three lamp cups","background","","0","REMAP","3","/scenes/story/cinematic/storywide/frostfang-threshold.webp","/scenes/story/story-interlude-frostfang-village-30.webp","Resolve this exact current story beat to retained, reviewed artwork."
"story-reckoning-field:story-reckoning-sova-true-roll:ff-blue-ice-gully:route-0/page:0/Names at Half Wick","src/data/story-field-scenes.ts:319","The blue-ice gully, wall watch and kitchen crews passing pages hand to hand","background","","0,1,2","VARIANT","3","/scenes/story/cinematic/storywide/frostfang-threshold.webp","/scenes/story/cinematic/storywide/frostfang-field-blue-ice-gully-v1.webp","Integrated supported story-state variant: frostGully. See production.json for reference lock and production brief."
"story-reckoning-field:story-reckoning-sova-true-roll:ff-blue-ice-gully:route-0/page:0/Names at Half Wick","src/data/story-field-scenes.ts:319","The blue-ice gully, wall watch and kitchen crews passing pages hand to hand","actor","Elder Sova","0,1,2","REMAP","1","/portraits/elder-sova.webp","/portraits/cinematic/storywide/elder-sova-canon.webp?v=891202c8e","Resolve this exact current story beat to retained, reviewed artwork."
"story-reckoning-field:story-reckoning-sova-true-roll:ff-blue-ice-gully:replay-0/page:0/Names at Half Wick","src/data/story-field-scenes.ts:319","The blue-ice gully, wall watch and kitchen crews passing pages hand to hand","background","","0,1,2","VARIANT","3","/scenes/story/cinematic/storywide/frostfang-threshold.webp","/scenes/story/cinematic/storywide/frostfang-field-blue-ice-gully-v1.webp","Integrated supported story-state variant: frostGully. See production.json for reference lock and production brief."
"story-reckoning-field:story-reckoning-sova-true-roll:ff-blue-ice-gully:replay-0/page:0/Names at Half Wick","src/data/story-field-scenes.ts:319","The blue-ice gully, wall watch and kitchen crews passing pages hand to hand","actor","Elder Sova","0,1,2","REMAP","1","/portraits/elder-sova.webp","/portraits/cinematic/storywide/elder-sova-canon.webp?v=891202c8e","Resolve this exact current story beat to retained, reviewed artwork."
"story-reckoning-field:story-reckoning-sova-true-roll:ff-blue-ice-gully:replay-0/page:1/Your Recorded Choice","src/data/story-field-scenes.ts:1","The blue-ice gully, wall watch and kitchen crews passing pages hand to hand","background","","0","VARIANT","3","/scenes/story/cinematic/storywide/frostfang-threshold.webp","/scenes/story/cinematic/storywide/frostfang-field-blue-ice-gully-v1.webp","Integrated supported story-state variant: frostGully. See production.json for reference lock and production brief."
"story-reckoning-field:story-reckoning-sova-true-roll:aftermath:route-0/page:0/Two Half Measures","src/data/story-field-scenes.ts:365","The gate stones, Sova checking a new oil ledger with the wall corporal and lower-road cook","background","","0,1,2","VARIANT","3","/scenes/story/cinematic/storywide/frostfang-threshold.webp","/scenes/story/cinematic/storywide/frostfang-roll-stone-v1.webp","Integrated supported story-state variant: frostIntake. See production.json for reference lock and production brief."
"story-reckoning-field:story-reckoning-sova-true-roll:aftermath:route-0/page:0/Two Half Measures","src/data/story-field-scenes.ts:365","The gate stones, Sova checking a new oil ledger with the wall corporal and lower-road cook","actor","Elder Sova","0,1,2","REMAP","1","/portraits/elder-sova.webp","/portraits/cinematic/storywide/elder-sova-canon.webp?v=891202c8e","Resolve this exact current story beat to retained, reviewed artwork."
"story-reckoning-field:story-reckoning-sova-true-roll:ff-gate-stones:route-1/page:0/One Jar, Two Needs","src/data/story-field-scenes.ts:284","The gate stones, a wall corporal and a cook waiting on opposite sides of one oil jar","background","","0,1,2","VARIANT","3","/scenes/story/cinematic/storywide/frostfang-threshold.webp","/scenes/story/cinematic/storywide/frostfang-roll-stone-v1.webp","Integrated supported story-state variant: frostIntake. See production.json for reference lock and production brief."
"story-reckoning-field:story-reckoning-sova-true-roll:ff-gate-stones:route-1/page:0/One Jar, Two Needs","src/data/story-field-scenes.ts:284","The gate stones, a wall corporal and a cook waiting on opposite sides of one oil jar","actor","Elder Sova","0,1,2","REMAP","1","/portraits/elder-sova.webp","/portraits/cinematic/storywide/elder-sova-canon.webp?v=891202c8e","Resolve this exact current story beat to retained, reviewed artwork."
"story-reckoning-field:story-reckoning-sova-true-roll:ff-gate-stones:replay-1/page:0/One Jar, Two Needs","src/data/story-field-scenes.ts:284","The gate stones, a wall corporal and a cook waiting on opposite sides of one oil jar","background","","0,1,2","VARIANT","3","/scenes/story/cinematic/storywide/frostfang-threshold.webp","/scenes/story/cinematic/storywide/frostfang-roll-stone-v1.webp","Integrated supported story-state variant: frostIntake. See production.json for reference lock and production brief."
"story-reckoning-field:story-reckoning-sova-true-roll:ff-gate-stones:replay-1/page:0/One Jar, Two Needs","src/data/story-field-scenes.ts:284","The gate stones, a wall corporal and a cook waiting on opposite sides of one oil jar","actor","Elder Sova","0,1,2","REMAP","1","/portraits/elder-sova.webp","/portraits/cinematic/storywide/elder-sova-canon.webp?v=891202c8e","Resolve this exact current story beat to retained, reviewed artwork."
"story-reckoning-field:story-reckoning-sova-true-roll:ff-gate-stones:replay-1/page:1/Your Recorded Choice","src/data/story-field-scenes.ts:1","The gate stones, a wall corporal and a cook waiting on opposite sides of one oil jar","background","","0","VARIANT","3","/scenes/story/cinematic/storywide/frostfang-threshold.webp","/scenes/story/cinematic/storywide/frostfang-roll-stone-v1.webp","Integrated supported story-state variant: frostIntake. See production.json for reference lock and production brief."
"story-reckoning-field:story-reckoning-sova-true-roll:ff-lower-road-kitchen:route-1/page:0/Wait Without Standing Still","src/data/story-field-scenes.ts:335","The lower-road kitchen before dawn, route marks pressed into flour on the table","background","","0,1,2","VARIANT","3","/scenes/story/cinematic/storywide/frostfang-threshold.webp","/scenes/story/cinematic/storywide/frostfang-lower-road-kitchen-v1.webp","Integrated supported story-state variant: frostKitchen. See production.json for reference lock and production brief."
"story-reckoning-field:story-reckoning-sova-true-roll:ff-lower-road-kitchen:route-1/page:0/Wait Without Standing Still","src/data/story-field-scenes.ts:335","The lower-road kitchen before dawn, route marks pressed into flour on the table","actor","Elder Sova","0,1,2","REMAP","1","/portraits/elder-sova.webp","/portraits/cinematic/storywide/elder-sova-canon.webp?v=891202c8e","Resolve this exact current story beat to retained, reviewed artwork."
"story-reckoning-field:story-reckoning-sova-true-roll:ff-lower-road-kitchen:replay-1/page:0/Wait Without Standing Still","src/data/story-field-scenes.ts:335","The lower-road kitchen before dawn, route marks pressed into flour on the table","background","","0,1,2","VARIANT","3","/scenes/story/cinematic/storywide/frostfang-threshold.webp","/scenes/story/cinematic/storywide/frostfang-lower-road-kitchen-v1.webp","Integrated supported story-state variant: frostKitchen. See production.json for reference lock and production brief."
"story-reckoning-field:story-reckoning-sova-true-roll:ff-lower-road-kitchen:replay-1/page:0/Wait Without Standing Still","src/data/story-field-scenes.ts:335","The lower-road kitchen before dawn, route marks pressed into flour on the table","actor","Elder Sova","0,1,2","REMAP","1","/portraits/elder-sova.webp","/portraits/cinematic/storywide/elder-sova-canon.webp?v=891202c8e","Resolve this exact current story beat to retained, reviewed artwork."
